Dataset,Gender,Year,Target,Bracket,N,Alpha,R2_train,R2_cv,N_selected,Selected_predictors
SC,female,2001,CMPR_SC_female,age_14_17,32,1.0723,0.697,0.549,4,Literacy (SC F) | CL attending (SC F) | Below primary (SC F) | Literacy (SC M)
SC,female,2011,CMPR_SC_female,age_14_17,31,1.2045,0.411,0.135,5,Below primary (SC F) | CL dropout (SC M) | Literacy (SC F) | Literacy (SC M) | Illiteracy (SC F)
SC,male,2001,CMPR_SC_male,age_14_17,32,0.3765,0.63,0.487,4,Literacy (SC F) | Below primary (SC F) | CL attending (SC F) | Illiteracy (SC F)
SC,male,2011,CMPR_SC_male,age_14_17,31,0.0231,0.693,0.166,11,Dropout (SC M) | CL dropout (SC M) | Literacy (SC F) | Below primary (SC F) | Non-worker dropout (F) | CL attending (SC F) | Below primary (SC M) | Literacy (SC M) | Illiteracy (SC F) | Illiteracy (SC M) | Attendance (SC M)
ST,female,2001,CMPR_ST_female,age_14_17,30,0.2984,0.815,0.711,6,CL attending (ST F) | Literacy (ST F) | Dropout (ST M) | Below primary (ST F) | Illiteracy (ST F) | Attendance (ST M)
ST,female,2011,CMPR_ST_female,age_14_17,30,0.3352,0.718,0.556,6,Dropout (ST F) | Below primary (ST F) | CL attending (ST M) | Non-worker dropout (F) | CL dropout (ST M) | Attendance (ST F)
ST,male,2001,CMPR_ST_male,age_14_17,30,0.1177,0.699,0.457,13,Literacy (ST F) | Dropout (ST F) | Below primary (ST F) | Dropout (ST M) | Attendance (ST F) | CL attending (ST F) | Attendance (ST M) | CL attending (ST M) | CL dropout (ST F) | Literacy (ST M) | CL dropout (ST M) | Illiteracy (ST F) | Illiteracy (ST M)
ST,male,2011,CMPR_ST_male,age_14_17,30,0.1485,0.567,0.381,4,Literacy (ST F) | Dropout (ST F) | Below primary (ST F) | CL dropout (ST F)
Hindu,female,2001,CMPR_hindu_female,age_14_17,35,0.8498,0.447,0.256,3,Literacy (Hindu F) | Middle school (Hindu F) | Illiteracy (Hindu F)
Hindu,female,2011,CMPR_hindu_female,age_14_17,35,0.9545,0.217,0.116,1,Literacy (Hindu F)
Hindu,male,2001,CMPR_hindu_male,age_14_17,35,100.0,0.0,-0.06,0,
Hindu,male,2011,CMPR_hindu_male,age_14_17,35,0.1485,0.341,0.199,3,Literacy (Hindu F) | Middle school (Hindu F) | Illiteracy (Hindu F)
Muslim,female,2001,CMPR_muslim_female,age_14_17,35,0.4229,0.474,0.356,3,Below primary (Muslim F) | Literacy (Muslim F) | Illiteracy (Muslim F)
Muslim,female,2011,CMPR_muslim_female,age_14_17,35,0.7565,0.31,0.212,1,Below primary (Muslim F)
Muslim,male,2001,CMPR_muslim_male,age_14_17,35,0.3352,0.264,0.131,3,Literacy (Muslim F) | Middle school (Muslim F) | Illiteracy (Muslim F)
Muslim,male,2011,CMPR_muslim_male,age_14_17,35,0.001,0.513,0.248,6,Middle school (Muslim F) | Literacy (Muslim F) | Literacy (Muslim M) | Below primary (Muslim F) | Illiteracy (Muslim F) | Illiteracy (Muslim M)
Christian,female,2001,CMPR_christian_female,age_14_17,35,0.0036,0.657,0.535,5,Middle school (Christian F) | Below primary (Christian F) | Literacy (Christian M) | Illiteracy (Christian F) | Illiteracy (Christian M)
Christian,female,2011,CMPR_christian_female,age_14_17,35,0.6734,0.364,0.128,2,Below primary (Christian F) | Literacy (Christian F)
Christian,male,2001,CMPR_christian_male,age_14_17,35,0.001,0.369,0.194,5,Below primary (Christian F) | Literacy (Christian M) | Illiteracy (Christian F) | Middle school (Christian F) | Illiteracy (Christian M)
Christian,male,2011,CMPR_christian_male,age_14_17,35,0.1485,0.38,0.106,2,Literacy (Christian F) | Below primary (Christian F)
Total,female,2001,CMPR_total_female,age_14_17,35,1.5199,0.345,0.238,2,Literacy (Total F) | Illiteracy (Total F)
Total,female,2011,CMPR_total_female,age_14_17,35,0.8498,0.051,-0.059,1,Literacy (Total F)
Total,male,2001,CMPR_total_male,age_14_17,35,0.0057,0.489,0.262,6,Below primary (Total F) | Below primary (Total M) | Literacy (Total F) | Literacy (Total M) | Illiteracy (Total F) | Illiteracy (Total M)
Total,male,2011,CMPR_total_male,age_14_17,35,0.2364,0.28,0.17,1,Literacy (Total F)
